2022-01-25 01:24:14.125 +03:00 [ERR] Plane detected id: 1, Lat: 1, Long: 1, Alt: 1
2022-01-25 01:25:18.328 +03:00 [ERR] Plane detected id: 3, Lat: 3, Long: 3, Alt: 3
2022-01-25 01:26:11.827 +03:00 [ERR] Plane detected id: 2, Lat: 3, Long: 4, Alt: 5
2022-01-25 01:27:25.894 +03:00 [ERR] Plane detected id: 2, Lat: 7, Long: 8, Alt: 9
2022-01-25 01:41:35.334 +03:00 [ERR] Plane detected id: 2, Lat: 3, Long: 4, Alt: 5
2022-01-25 01:41:45.779 +03:00 [ERR] Plane detected id: 2, Lat: 3, Long: 6, Alt: 5
2022-01-25 01:42:10.860 +03:00 [ERR] Plane detected id: 2, Lat: 3, Long: 8, Alt: 5
2022-01-25 01:42:20.847 +03:00 [ERR] Plane detected id: 2, Lat: 3, Long: 10, Alt: 5
2022-01-25 01:42:25.683 +03:00 [ERR] Plane detected id: 2, Lat: 3, Long: 12, Alt: 5
2022-01-25 01:43:10.417 +03:00 [ERR] Plane detected id: 2, Lat: 1, Long: 1, Alt: 1
2022-01-25 01:43:15.125 +03:00 [ERR] Plane detected id: 2, Lat: 1, Long: 3, Alt: 1
2022-01-25 01:43:19.613 +03:00 [ERR] Plane detected id: 2, Lat: 1, Long: 5, Alt: 1
2022-01-25 01:43:23.925 +03:00 [ERR] Plane detected id: 2, Lat: 1, Long: 7, Alt: 1
2022-01-25 01:43:28.645 +03:00 [ERR] Plane detected id: 2, Lat: 1, Long: 9, Alt: 1
2022-01-25 01:48:23.100 +03:00 [ERR] Plane detected id: 2, Lat: 1, Long: 10, Alt: 1
2022-01-25 01:48:27.474 +03:00 [ERR] Plane detected id: 2, Lat: 1, Long: 10, Alt: 1
2022-01-25 01:55:30.582 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 2
2022-01-25 01:55:36.278 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 4
2022-01-25 01:55:39.748 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 6
2022-01-25 01:56:26.302 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 6
2022-01-25 01:56:32.550 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 6
2022-01-25 01:56:43.723 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 8
2022-01-25 01:56:55.151 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 10
2022-01-25 01:57:58.924 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 11
2022-01-25 01:58:17.859 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 13
2022-01-25 01:58:30.601 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 15
2022-01-25 01:59:03.164 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 16
2022-01-25 01:59:08.370 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 16
2022-01-25 01:59:12.420 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 16
2022-01-25 01:59:17.010 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 16
2022-01-25 01:59:24.051 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 0
2022-01-25 02:00:30.109 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 0
2022-01-25 02:00:31.507 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 0
2022-01-25 02:00:47.572 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 0
2022-01-25 02:00:50.464 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 0
2022-01-25 02:00:53.346 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 0
2022-01-25 02:00:55.998 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 0
2022-01-25 02:00:57.828 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 0
2022-01-25 02:01:00.770 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 0
2022-01-25 02:01:15.383 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 1
2022-01-25 02:01:17.339 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 2
2022-01-25 02:01:19.140 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 3
2022-01-25 02:01:20.938 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 4
2022-01-25 02:01:22.753 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 5
2022-01-25 02:01:24.546 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 6
2022-01-25 02:01:26.522 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 7
2022-01-25 02:01:30.041 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 8
2022-01-25 02:01:32.042 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 9
2022-01-25 02:01:35.378 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 10
2022-01-25 02:02:26.284 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 10
2022-01-25 02:02:36.918 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 10
2022-01-25 02:02:40.219 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 10
2022-01-25 02:02:43.289 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 10
2022-01-25 02:39:37.020 +03:00 [ERR] Plane detected id: 2, Lat: 1, Long: 0, Alt: 0
2022-01-25 02:39:41.298 +03:00 [ERR] Plane detected id: 2, Lat: 1, Long: 0, Alt: 0
2022-01-25 02:39:46.414 +03:00 [ERR] Plane detected id: 2, Lat: 1, Long: 0, Alt: 0
2022-01-25 02:39:50.641 +03:00 [ERR] Plane detected id: 2, Lat: 1, Long: 0, Alt: 0
2022-01-25 02:39:55.766 +03:00 [ERR] Plane detected id: 2, Lat: 1, Long: 0, Alt: 0
2022-01-25 02:44:22.078 +03:00 [ERR] Plane detected id: 2, Lat: 1, Long: 0, Alt: 0
2022-01-25 02:44:32.879 +03:00 [ERR] Plane detected id: 2, Lat: 3, Long: 0, Alt: 0
2022-01-25 03:01:52.607 +03:00 [ERR] Plane detected id: 2, Lat: 3, Long: 0, Alt: 0
2022-01-25 03:01:56.445 +03:00 [ERR] Plane detected id: 2, Lat: 5, Long: 0, Alt: 0
2022-01-25 03:02:03.365 +03:00 [ERR] Plane detected id: 2, Lat: 7, Long: 0, Alt: 0
2022-01-25 03:02:07.621 +03:00 [ERR] Plane detected id: 2, Lat: 9, Long: 0, Alt: 0
2022-01-25 03:16:26.353 +03:00 [ERR] Plane detected id: 2, Lat: 3, Long: 0, Alt: 0
2022-01-25 03:16:35.740 +03:00 [ERR] Plane detected id: 2, Lat: 3, Long: 0, Alt: 0
2022-01-25 03:20:09.560 +03:00 [ERR] Plane detected id: 2, Lat: 1, Long: 0, Alt: 0
2022-01-25 03:20:19.543 +03:00 [ERR] Plane detected id: 2, Lat: 3, Long: 0, Alt: 0
2022-01-25 03:20:23.283 +03:00 [ERR] Plane detected id: 2, Lat: 3, Long: 0, Alt: 0
2022-01-25 03:24:21.364 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 0
2022-01-25 03:24:27.325 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 0
2022-01-25 03:24:35.301 +03:00 [ERR] Plane detected id: 2, Lat: 1, Long: 0, Alt: 0
2022-01-25 03:25:46.124 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 0
2022-01-25 03:25:52.968 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 0
2022-01-25 03:25:58.020 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 0
2022-01-25 03:26:45.800 +03:00 [ERR] Plane detected id: 2, Lat: 0, Long: 0, Alt: 0
2022-01-25 03:27:48.046 +03:00 [ERR] Plane detected id: 2, Lat: 1, Long: 10, Alt: 1
2022-01-25 03:28:13.206 +03:00 [ERR] Plane detected id: 2, Lat: 1, Long: 10, Alt: 1
2022-01-25 03:28:32.957 +03:00 [ERR] Plane detected id: 2, Lat: 1, Long: 10, Alt: 1
2022-01-25 03:28:49.392 +03:00 [ERR] Plane detected id: 2, Lat: 1, Long: 11, Alt: 1
2022-01-25 03:29:09.164 +03:00 [ERR] Plane detected id: 2, Lat: 1, Long: 14, Alt: 1
